Starting new receiver log.

Received at 1705623490.5130558: Sent at 1705623490.5120609, Delay: 0.0009949207305908203 seconds, Priority: low

Received at 1705623490.6142309: Sent at 1705623490.6134095, Delay: 0.0008213520050048828 seconds, Priority: low

Received at 1705623490.7152166: Sent at 1705623490.7146103, Delay: 0.0006062984466552734 seconds, Priority: low

Received at 1705623490.8158958: Sent at 1705623490.8155825, Delay: 0.0003132820129394531 seconds, Priority: low

Received at 1705623490.9165254: Sent at 1705623490.916086, Delay: 0.0004394054412841797 seconds, Priority: low

Received at 1705623491.0171442: Sent at 1705623491.016777, Delay: 0.00036716461181640625 seconds, Priority: low

Received at 1705623491.1177452: Sent at 1705623491.1174319, Delay: 0.0003132820129394531 seconds, Priority: low

Received at 1705623491.150984: Sent at 1705623491.1506925, Delay: 0.00029158592224121094 seconds, Priority: high

Received at 1705623491.2185483: Sent at 1705623491.2179756, Delay: 0.0005726814270019531 seconds, Priority: low

Received at 1705623491.3191922: Sent at 1705623491.3188088, Delay: 0.0003833770751953125 seconds, Priority: low

Received at 1705623491.4203343: Sent at 1705623491.419449, Delay: 0.0008852481842041016 seconds, Priority: low

Received at 1705623491.521268: Sent at 1705623491.5207148, Delay: 0.000553131103515625 seconds, Priority: low

Received at 1705623491.621754: Sent at 1705623491.621513, Delay: 0.0002410411834716797 seconds, Priority: low

Received at 1705623491.7223635: Sent at 1705623491.7218883, Delay: 0.00047516822814941406 seconds, Priority: low

Received at 1705623491.823057: Sent at 1705623491.8226292, Delay: 0.0004277229309082031 seconds, Priority: low

Received at 1705623491.92359: Sent at 1705623491.9232507, Delay: 0.00033926963806152344 seconds, Priority: low

Received at 1705623492.0241277: Sent at 1705623492.0237749, Delay: 0.0003528594970703125 seconds, Priority: low

Received at 1705623492.1247134: Sent at 1705623492.1242976, Delay: 0.000415802001953125 seconds, Priority: low

Received at 1705623492.1525414: Sent at 1705623492.1520638, Delay: 0.0004775524139404297 seconds, Priority: high

Received at 1705623492.225278: Sent at 1705623492.22484, Delay: 0.0004379749298095703 seconds, Priority: low

Received at 1705623492.326034: Sent at 1705623492.3255713, Delay: 0.0004627704620361328 seconds, Priority: low

Received at 1705623492.4266553: Sent at 1705623492.4262435, Delay: 0.00041174888610839844 seconds, Priority: low

Received at 1705623492.5274646: Sent at 1705623492.5270643, Delay: 0.00040030479431152344 seconds, Priority: low

Received at 1705623492.6280963: Sent at 1705623492.6276903, Delay: 0.00040602684020996094 seconds, Priority: low

Received at 1705623492.728672: Sent at 1705623492.7283156, Delay: 0.00035643577575683594 seconds, Priority: low

Received at 1705623492.8300862: Sent at 1705623492.8289063, Delay: 0.0011799335479736328 seconds, Priority: low

Received at 1705623492.9312847: Sent at 1705623492.9306343, Delay: 0.0006504058837890625 seconds, Priority: low

Received at 1705623493.032456: Sent at 1705623493.0318596, Delay: 0.0005962848663330078 seconds, Priority: low

Received at 1705623493.133037: Sent at 1705623493.1327796, Delay: 0.0002574920654296875 seconds, Priority: low

Received at 1705623493.1539056: Sent at 1705623493.1536791, Delay: 0.00022649765014648438 seconds, Priority: high

Received at 1705623493.2335298: Sent at 1705623493.233243, Delay: 0.0002868175506591797 seconds, Priority: low

Received at 1705623493.3339956: Sent at 1705623493.3337355, Delay: 0.0002601146697998047 seconds, Priority: low

Received at 1705623493.434457: Sent at 1705623493.4342, Delay: 0.0002570152282714844 seconds, Priority: low

Received at 1705623493.5349383: Sent at 1705623493.534668, Delay: 0.0002703666687011719 seconds, Priority: low

Received at 1705623493.6354032: Sent at 1705623493.6351497, Delay: 0.00025343894958496094 seconds, Priority: low

Received at 1705623493.735853: Sent at 1705623493.7355797, Delay: 0.0002732276916503906 seconds, Priority: low

Received at 1705623493.8363647: Sent at 1705623493.83606, Delay: 0.0003046989440917969 seconds, Priority: low

Received at 1705623493.9368508: Sent at 1705623493.9365451, Delay: 0.0003056526184082031 seconds, Priority: low

Received at 1705623494.037298: Sent at 1705623494.0370078, Delay: 0.00029015541076660156 seconds, Priority: low

Received at 1705623494.137885: Sent at 1705623494.1374779, Delay: 0.00040721893310546875 seconds, Priority: low

Received at 1705623494.1553657: Sent at 1705623494.1549835, Delay: 0.0003821849822998047 seconds, Priority: high

Received at 1705623494.238597: Sent at 1705623494.238116, Delay: 0.00048089027404785156 seconds, Priority: low

